id,theme,similarity,subject_text
459,23,0.90639484,"Услуги в области PR (РИМ), Размещение рекламно-информационного материала, дата публикации 15.01.2026, в г. news29.ru, Январь 2026 бренд: билайн | Услуги в области PR (РИМ), Размещение рекламно-информационного материала, дата публикации 19.01.2026, в г. news29.ru, Январь 2026 бренд: билайн | Услуги в области PR (РИМ), Размещение рекламно-информационного материала, дата публикации 14.01.2026, в г. news.novgorod.ru, Январь 2026 бренд: билайн | Услуги в области PR (РИМ), Размещение рекламно-информационного материала, дата публикации 20.01.2026, в г. news.novgorod.ru, Январь 2026 бренд: билайн | Услуги в области PR (РИМ), Размещение рекламно-информационного материала, дата публикации 21.01.2026, в г. novvedomosti.ru, Январь 2026 бренд: билайн"
465,20,0.8180493,"Модуль электрический SFP Ethernet 1G, прогон 0,1 km, 1 Gbps, разъем RJ-45, индустриальный, HW|БАЗИС ТЕЛЕКОМ||BZ-SFP-1G-T-I-(HW)|| [вид:имущество; ед:Штуки]"
467,7,0.94436026,Аренда нежилого помещения за апрель 2026 г. [вид:услуга; ед:шт]
470,9,0.86132073,Вознаграждение за январь 2026 г. [вид:услуга; ед:шт]
473,9,0.8587148,Вознаграждение по договору № UH212 (01.2026) [вид:услуга]
478,5,0.822719,"Ком. за Пересыл.док.за пред.гор.и обл.ч-з курьер.комп., согл.тар.банка в кол-ве 1 шт., ПАО ""ВымпелКом"""
484,5,0.8526195,Лом кат С_1 из 1_Щит учета электроэнергии базовой станции [ед:Грузовое место]
488,8,0.8149092,"Проведение предпроектных изысканий. Разработка основных предпроектных решений (включая перечень и стоимость работ). Согласование предпроектных решений с Заказчиком [ед:за полный комплект] | марка ТХ (Технологические решения) [ед:за марку] | марка ЭС (Электроснабжение) [ед:за марку] | Оформление (включая проведение необходимых измерений) и предоставление Заказчику комплектов исполнительной и отчетной документации на объект Базовую станцию в соответствии с Общими техническими условиями на базовую станцию и Процедурой технической приемки БС. [ед:за полный комплект] | Компенсации повышенных транспортных расходов на доставку оборудования и материалов на объекты, находящиеся на удалении свыше 100 км. [ед:за 1 км]"
490,10,0.8848402,Услуги по обеспечению условий для технической эксплуатации оборудования связи [вид:услуга; ед:шт]
507,4,0.877121,"Ремонтные работы на объектах ПАО _Вымпелком_, подтвержденные актом выполненных работ 14 от 06.02.2026 г."
518,90,0.80502033,"Вода питьевая ""Серебряная"" 18,9 л [вид:имущество; ед:шт]"
557,25,0.8349076,"марка ТХ (Технологические решения) [ед:за марку] | марка КМ (Конструкции металлические) [ед:за марку] | Оформление (включая проведение необходимых измерений) и предоставление Заказчику комплектов исполнительной и отчетной документации на объект Базовую станцию в соответствии с Общими техническими условиями на базовую станцию и Процедурой технической приемки БС. [ед:за полный комплект] | Создание места (изготовление/закупка, доставка и установка трубостойки от 3,5 до 6 метров) для размещения антенны Базовой станции, Радиорелейной станции [ед:за 1 трубостойку] | Поставка и Установка дополнительного автомата в боксе (вместе с боксом) [ед:за шт]"
561,23,0.83244383,Пред.в польз.КРдля разм.обор.(кр.об.ФГУП РТРСи в ЦОД)-ежемес.плат. за май 2026
562,23,0.83244383,Пред.в польз.КРдля разм.обор.(кр.об.ФГУП РТРСи в ЦОД)-ежемес.плат. за май 2026
583,90,0.8247615,"Вода питьевая очищенная ""Родной Источник"" 19л [вид:имущество; ед:шт]"
607,90,0.65876615,"Смартфон Samsung Galaxy A17 (8GB+256GB) Light Black, Черный (SM-A175FZKOCAC) [вид:имущество; ед:шт] | Смартфон Samsung Galaxy A17 (8GB+256GB) Light Blue, Голубой (SM-A175FLBOCAC) [вид:имущество; ед:шт] | Смартфон Samsung Galaxy A17 (8GB+256GB) Light Gray, Серый (SM-A175FZAOCAC) [вид:имущество; ед:шт]"
613,8,0.8149092,"Проведение предпроектных изысканий. Разработка основных предпроектных решений (включая перечень и стоимость работ). Согласование предпроектных решений с Заказчиком [ед:за полный комплект] | марка ТХ (Технологические решения) [ед:за марку] | марка ЭС (Электроснабжение) [ед:за марку] | Оформление (включая проведение необходимых измерений) и предоставление Заказчику комплектов исполнительной и отчетной документации на объект Базовую станцию в соответствии с Общими техническими условиями на базовую станцию и Процедурой технической приемки БС. [ед:за полный комплект] | Компенсации повышенных транспортных расходов на доставку оборудования и материалов на объекты, находящиеся на удалении свыше 100 км. [ед:за 1 км]"
627,25,0.82484746,"марка ТХ (Технологические решения) [ед:за марку] | марка ЭС (Электроснабжение) [ед:за марку] | Оформление (включая проведение необходимых измерений) и предоставление Заказчику комплектов исполнительной и отчетной документации на объект Базовую станцию в соответствии с Общими техническими условиями на базовую станцию и Процедурой технической приемки БС. [ед:за полный комплект] | Поставка и Установка дополнительного автомата в боксе (вместе с боксом) [ед:за шт] | Компенсации повышенных транспортных расходов на доставку оборудования и материалов на объекты, находящиеся на удалении свыше 100 км. [ед:за 1 км]"
646,3,0.84757066,Авансовые платежи в счет реализации Пользование объектом недвижимости
690,8,0.81632996,"Обеспечение функционирования оборудования на РРС ""Киренск"" в соответствии с приложением 2/3 от 24 августа 2020 г. по договору 0408-03 ОФО от 18 апреля 2008 г. за январь 2026 г. [вид:услуга; ед:мес]"
691,90,0.8225173,"Вода питьевая «Волжанка для Кофе и Чая» негазированная 18,9л в многоразовом ПК-бутыле [вид:имущество; ед:бут]"
694,5,0.85447013,Инициирование трафика за апрель 2026 г. [вид:услуга; ед:мин]
700,10,0.87768996,"Услуги связи, предоставленные за 03.2026 г. [вид:услуга; ед:-]"
701,1,0.8477353,Партнерские услуги о сотрудничестве в области предоставления телекоммуникационных услуг по Договору № H7253 от 18.06.2008г. за Январь 2025 г. [вид:услуга; ед:усл]
707,0,0.8639567,Предоставление доступа к инфраструктуре для размещения сетей электросвязи (в том числе волоконно-оптических линий связи) на опорах ВЛ за январь 2026 г. [вид:услуга; ед:шт]
708,90,0.7958689,"Вода питьевая 7 Озер 18,9 л [вид:имущество; ед:шт]"
711,3,0.86933804,Проведение аварийно-восстановительных работ по заказу № CHT260326_1858_19 от 26.03.2026 к Договору № Д25563Э-ТО-БС-В-2025 от 23.05.2025г. на объектах Забайкальского края [вид:услуга]
757,9,0.8694149,Возмещение стоимости электроэнергии за март 2026 г. [вид:услуга; ед:кВт.ч]
783,9,0.8575837,Электроэнергия (нерегул.) за январь 2026 г. [вид:услуга; ед:кВт]
792,10,0.8869268,Услуги по предоставлению возможности оказывать услуги связи арендаторам помещений по Договору № ЕС164 от 12.05.2023 за Март 2026 г. [вид:услуга]
794,0,0.86395645,Предоставление доступа к инфраструктуре для размещения сетей электросвязи (в том числе волоконно-оптических линий связи) на опорах ВЛ за март 2026 г. [вид:услуга; ед:шт]
814,11,0.89366126,"Обследование трасс прокладки проводных линий связи, точек монтажа проводного оборудования доступа [ед:Объект] (×5)"
818,0,0.8354055,"Вознаграждение Лицензиара за предоставление Оператору прав в отношении Фильмов, указанных в п. 1 Дополнительного Соглашения № 31 к Договору № NMK-VK20 от 08.06.2020 г."
819,0,0.83511347,"Вознаграждение Лицензиара за предоставление Оператору прав в отношении Фильмов, указанных в п. 1 Дополнительного Соглашения № 32 к Договору № NMK-VK20 от 08.06.2020 г."
821,8,0.82914686,Проведение предпроектных изысканий. Разработка основных предпроектных решений (включая перечень и стоимость работ). Согласование предпроектных решений с Заказчиком [ед:за полный комплект] | марка ТХ (Технологические решения) [ед:за марку] | марка ЭС (Электроснабжение) [ед:за марку]
836,25,0.8247882,"марка ТХ (Технологические решения) [ед:за марку] | марка ЭС (Электроснабжение) [ед:за марку] | Оформление (включая проведение необходимых измерений) и предоставление Заказчику комплектов исполнительной и отчетной документации на объект Базовую станцию в соответствии с Общими техническими условиями на базовую станцию и Процедурой технической приемки БС. [ед:за полный комплект] | Компенсации повышенных транспортных расходов на доставку оборудования и материалов на объекты, находящиеся на удалении свыше 100 км. [ед:за 1 км] | Демонтаж для пункта 3.1.12 Монтаж цифровой платы в системный блок Базовой станции [ед:за плату]"
839,20,0.82109416,"Модуль электрический SFP Ethernet 1G, прогон 0,1 km, 1 Gbps, разъем RJ-45, индустриальный, CS|БАЗИС ТЕЛЕКОМ||BZ-SFP-1G-T-I-(CS)|| [ед:Штуки]"
841,16,0.82767355,SIM-карта 96K Dynamic LTE sim/micro-sim/nano-sim USIM без номера [вид:имущество; ед:шт]
845,20,0.92078537,Предоставление магистральных цифровых каналов связи (МЦКС/NPL) c 01.05.2026 по 31.05.2026 | Доступ в Интернет c 01.05.2026 по 31.05.2026 | Предоставление цифровых каналов связи (ЦКС) c 01.05.2026 по 31.05.2026 | Виртуальный канал Ethernet (EPL) c 01.05.2026 по 31.05.2026
857,2,0.8494014,Предоставление места в телефонной канализации - ежемесячный платеж за январь 2026
858,2,0.8494014,Предоставление места в телефонной канализации - ежемесячный платеж за январь 2026
859,26,0.86157215,Обслуживание электросетей за февраль м-ц 2026г [вид:услуга; ед:кВт]
863,90,0.8247615,"Вода питьевая очищенная ""Родной Источник"" 19л [вид:имущество; ед:шт]"
866,90,0.636219,А/шина 185/65 R 15 88H Ikon Character Eco [ед:шт] | А/шина 205/70 R 15 96T Ikon Character Eco [ед:шт]
871,9,0.86260486,Возмещение по договору электроэнергия за январь 2026 г. [вид:услуга; ед:шт]
875,0,0.8639567,Предоставление доступа к инфраструктуре для размещения сетей электросвязи (в том числе волоконно-оптических линий связи) на опорах ВЛ за февраль 2026 г. [вид:услуга; ед:шт]
881,90,0.8181472,Вода питьевая Королевская вода 19л [вид:имущество; ед:шт]
891,7,0.956545,"Аренда помещения за февраль 2026 г., по договору № 26 от 03.12.25 г. [вид:услуга; ед:мес]"
892,7,0.956545,"Аренда помещения за февраль 2026 г., по договору № 26 от 03.12.25 г. [вид:услуга; ед:мес]"
893,11,0.8902147,Проведение работ по демонтажу и нереализованным проектам [ед:Объект]
894,11,0.89741147,"Обследование трасс прокладки проводных линий связи, точек монтажа проводного оборудования доступа [ед:Объект]"
921,10,0.9038837,Услуги по содействию за период февраль 2026 г. [вид:услуга; ед:шт]
922,10,0.9038837,Услуги по содействию за период февраль 2026 г. [вид:услуга; ед:шт]
923,10,0.9038837,Услуги по содействию за период февраль 2026 г. [вид:услуга; ед:шт]
936,11,0.8885737,"Демонтаж оборудования (включая интерфейсные кабели, кроссировки, двухмегабитные кроссировки с удалением из жгута) на объекте клиента, перекидных оптических/медных кабелей между помещениями/по зданиям, стойками на объекте + Монтаж и ПНР базовой/терминальной станции/точки доступа внутреннего исполнени [ед:Штука] | Работы и материалы, не указанные в ТЦП (Территориальный коэффициент г. Норильска) [ед:Комплект]"
956,4,0.8805893,"Дополнительные работы на объектах ПАО _Вымпелком_, подтвержденные актом выполненных работ 3101_96 от 31.01.2026 г."
957,4,0.88374627,"Дополнительные работы на объектах ПАО _Вымпелком_, потвержденные актом выполненных работ 3101_96 от 31.01.2026 г. [ед:-]"
962,9,0.87650454,Электроэнергия за январь 2026г [вид:услуга; ед:кВт]
963,10,0.89340484,За услуги по договору №11884-0214 от 10.02.20214 за Май 2026 г. [вид:услуга; ед:шт]
967,23,0.83244383,Пред.в польз.КРдля разм.обор.(кр.об.ФГУП РТРСи в ЦОД)-ежемес.плат. за май 2026
968,23,0.83244383,Пред.в польз.КРдля разм.обор.(кр.об.ФГУП РТРСи в ЦОД)-ежемес.плат. за май 2026
973,26,0.9079485,возмещение затрат по содержанию помещений за 01.2026г [вид:услуга; ед:мес]
980,21,0.84226525,Проведение работ на сети ПАО «ВымпелКом» [ед:Километр]
983,0,0.851598,Возмещение расходов по электроэнергии за январь 2026г. [вид:услуга; ед:кВт.ч]
999,2,0.8494014,Предоставление места в телефонной канализации - ежемесячный платеж за декабрь 2025
1000,2,0.8494014,Предоставление места в телефонной канализации - ежемесячный платеж за ноябрь 2025
1001,2,0.8494014,Предоставление места в телефонной канализации - ежемесячный платеж за январь 2026
1002,2,0.8494014,Предоставление места в телефонной канализации - ежемесячный платеж за ноябрь 2025
1014,0,0.87744963,РАЗМЕЩЕНИЕ ОБОРУДОВАНИЯ | УСЛУГИ НА РАЗМЕЩЕНИЕ КАБЕЛЕЙ СВЯЗИ В ЛКС
1023,26,0.858363,Дог. № UU699. Вознаграждение за январь 2026 г. [вид:услуга]
1031,7,0.9352844,аренда помещения за апрель 2026 г. [вид:услуга; ед:кв.м.] (×3)
1035,26,0.8760959,Вознаграждение агента по отчету № 657942427 от 15.03.2026 за период: с 09.03.2026 по 15.03.2026 [вид:услуга; ед:ШТ]
1045,0,0.8541459,Обеспечение размещения оборудования на опорах воздушных линий электропередач (опоры ВЛ 2шт. по Дог. №2002-9р от 17.02.2020) январь 2026г. [вид:услуга; ед:Не использовать -] | Обеспечение размещения оборудования на опорах воздушных линий электропередач Доп.согл.№1 от 28.01.2022г.(опоры ВЛ 3шт. по Дог. №2002-9р от 17.02.2020) январь 2026г. [вид:услуга; ед:Не использовать -] | Обеспечение размещения оборудования на опорах воздушных линий электропередач Доп.согл.№2 от 28.01.2022г.(опоры ВЛ 107шт. по Дог. №2002-9р от 17.02.2020) январь 2026г. [вид:услуга; ед:Не использовать -]
1051,0,0.829817,Арендная плата за использование 101 опоры наружного освещения для размещения подвесов ВОЛС за февраль 2026г.
1054,8,0.8149092,"Проведение предпроектных изысканий. Разработка основных предпроектных решений (включая перечень и стоимость работ). Согласование предпроектных решений с Заказчиком [ед:за полный комплект] | марка ТХ (Технологические решения) [ед:за марку] | марка ЭС (Электроснабжение) [ед:за марку] | Оформление (включая проведение необходимых измерений) и предоставление Заказчику комплектов исполнительной и отчетной документации на объект Базовую станцию в соответствии с Общими техническими условиями на базовую станцию и Процедурой технической приемки БС. [ед:за полный комплект] | Компенсации повышенных транспортных расходов на доставку оборудования и материалов на объекты, находящиеся на удалении свыше 100 км. [ед:за 1 км]"
1071,10,0.8845469,Услуги по размещению оборудования (средств связи) за июнь 2026 г. [вид:услуга; ед:шт]
1084,5,0.8259418,Предост. в польз. лин.доступа на ср-вах сторон.орг. (проп. Интерн-трафика опер.) за декабрь 2025 | Пропуск Интернет-траф.операт.в СПД-за искл.пиринг.согл.(IP-транзит-Полносвязный) за декабрь 2025 | Организация ТП для целей потребл. услуг пропуска Интернет-трафика опер. за декабрь 2025
1086,5,0.8259418,Предост. в польз. лин.доступа на ср-вах сторон.орг. (проп. Интерн-трафика опер.) за январь 2026 | Пропуск Интернет-траф.операт.в СПД-за искл.пиринг.согл.(IP-транзит-Полносвязный) за январь 2026 | Организация ТП для целей потребл. услуг пропуска Интернет-трафика опер. за январь 2026
1087,5,0.82594174,Предост. в польз. лин.доступа на ср-вах сторон.орг. (проп. Интерн-трафика опер.) за январь 2026 | Пропуск Интернет-траф.операт.в СПД-за искл.пиринг.согл.(IP-транзит-Полносвязный) за январь 2026 | Организация ТП для целей потребл. услуг пропуска Интернет-трафика опер. за январь 2026
1096,20,0.81118596,"Модуль оптический SFP Ethernet 1G, длина волны 1310 nm, прогон 20 km, 1 Gbps, SM, разъем LC, с поддержкой мониторинга DDM, индустриальный, NK|БАЗИС ТЕЛЕКОМ||BZ-SFP-1G-LX-20-I-(NK)|| [вид:имущество; ед:Штуки]"
1119,20,0.8109777,"Инжектор питания через Ethernet (PoE) для точки доступа Wi-Fi с поддержкой стандарта 802.11af/at, 2 х GE (RJ-45) port, 100-240 V AC, 54 V DC, 30 W|ORIGO||OPE301GI|| [вид:имущество; ед:Штуки] | Точка доступа Wi-Fi Qtech QWP-82 Indoor, 802.11b/g/n/ac/ax, 2.4/5 GHz, 2x2 DL/UL MU-MIMO, 4 антенны 4 dBi, 2 x FE ports, 256 MB RAM, 32 MB, с МК|QTECH||QWP-82|| [вид:имущество; ед:Штуки]"
1152,9,0.86122537,Вознаграждение Партнера по договору № U99OM от 11.06.2024 за Апрель 2026 г. [вид:услуга; ед:Усл]
1163,3,0.837767,Аванс: за обеспечительный платеж за аренду Договор РА-Д-13-044 от 01.02.2013
1164,7,0.94436026,Аренда нежилого помещения за февраль 2026 г. [вид:услуга; ед:шт]
1166,26,0.8624848,Возмещение коммунальных и эксплуатационных расходов по дог.10-2026 от 23.01.2026г за апрель 2026г [вид:услуга; ед:мес]
1178,7,0.93191826,Арендная плата по Договору аренды нежилого помещения за май 2026 г. [вид:услуга; ед:мес]
1186,4,0.85319656,Проведение работ на сети ПАО «ВымпелКом» [ед:Комплект]
1198,3,0.8623761,"Ремонтно-восстановительные работы - Липецкая обл., Краснинский р-н, с. Красное, ул. Октябрьская, д. 28 (БЗ № 40 от 18.05.23) [вид:услуга; ед:шт]"
1215,8,0.8379914,Проведение предпроектных изысканий. Разработка основных предпроектных решений (включая перечень и стоимость работ). Согласование предпроектных решений с Заказчиком [ед:за полный комплект]
1220,10,0.8823552,Услуги по размещению и обслуживанию оборудования по Договору 109180511 от 01.05.2011 г. за январь 2026 г. [вид:услуга; ед:шт]
1241,7,0.9529226,"Аренда помещения, Апрель 2026 г. [вид:услуга; ед:мес]"
1246,3,0.81481206,"Проведение аварийно-ремонтных работ по Договору № Д24827 от 12.12.2024 г., MSK-2601-AVR-1583-183, отчетный период с 04.02.2026-20.02.2026 г [вид:услуга; ед:шт]"
1247,7,0.944021,Аренда помещения согласно договора № 97 от 15.11.2006г. [ед:м2]
1248,3,0.8521758,"Ремонтные работы по адресу г. Иваново, ул. 8 Марта, д. 32, павильон 38 [вид:услуга; ед:усл.]"
1256,25,0.8162583,"марка ТХ (Технологические решения) [ед:за марку] | марка ЭС (Электроснабжение) [ед:за марку] | Оформление (включая проведение необходимых измерений) и предоставление Заказчику комплектов исполнительной и отчетной документации на объект Базовую станцию в соответствии с Общими техническими условиями на базовую станцию и Процедурой технической приемки БС. [ед:за полный комплект] | Изготовление/поставка крепления для установки одного RRU или антенны на трубостойки или ОДН (без переходного крепления) [ед:за 1 комплект] | Пусконаладочные работы, тестирование и интеграция Базовой станции 4G LTE 2100 распределенного типа [ед:за шт]"
1261,2,0.8494014,Предоставление места в телефонной канализации - ежемесячный платеж за февраль 2026
1262,2,0.8494014,Предоставление места в телефонной канализации - ежемесячный платеж за февраль 2026
1273,0,0.83486164,"Услуги по предоставлению помещения в здании АДЦ ОЭЗ ППТ ""Липецк"" для размещения телекоммуникационного шкафа заказчика с оборудованием за май 2026 года согласно договору № RN441 от 01.12.2017 года [вид:работа; ед:руб]"
