group,file,llm_topic,theme_id,top_words
pdf_text,dffb3863-d12f-4c8f-9460-76e12f183f1c.Proforma_Invoice_2BM-7713076301-2012052807251168061080000000000_2BM-7826156685-783801001-201401201117022305126_20260610_b9b8c9a4-0ddd-48d8-b1a2-50578647c9a7.pdf,Услуга по организации доставки груза,-1,
pdf_text,313d7543-a542-4d17-8c4b-9758c7a5451d.41410_УОрБАО_Кутулик_ТЦ-Престиж_ЭС_v1.0.pdf,Рабочая документация на модернизацию базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,5cf87ecd-a2af-4f41-b608-e74c1bf1bae1.Уведомление о смене юридического адреса ИП Хайрулин В.Р. ИНН 784809946092.pdf,Уведомление о смене адреса,-1,
pdf_text,4eb6981b-ced2-4add-83a8-2e2dc97b45d2.РЦ-ИСХ-11302 от 27.05.2026_ВымпелКом_ДЭ_о подписании ДС11.docx.pdf,Дополнительное соглашение к договору ВОЛС,-1,
pdf_text,536227f2-4cb6-4dad-aee1-e8b75d16e6e8.Raschet_obosnovanie_za_yanvar_2026_g._Vympelkom.pdf,Расчет электроэнергии за январь 2026 года,-1,
pdf_text,9adfb7c2-a422-4cbb-a8b9-ef9e4bfcc725.Оферта №2525_ТС.pdf,Оферта на заключение договора,-1,
pdf_text,4f32d6e0-c014-4aa9-880f-e72a5e004452.Отчет об оказанных услугах_3422793_2026-04_7713076301_165543001.pdf,Отчет о задолженности абонента,-1,
pdf_text,08eee11e-32f0-4e87-a65a-e34516bc89f4.0874_АНКД_Билайн.pdf,Акт начала аренды помещения,-1,
pdf_text,f7683431-73f0-434c-8039-51ee13c5b500.ТСС.2026.464523.23098_Площево РРС.pdf,Строительство базовой станции сотовой связи,3,"станции сотовой, станции, сотовой связи, сотовой, базовой станции, базовой, связи, строительство базовой"
pdf_text,458b0783-1d07-4fb3-84a4-95d1f252a7f7.Уведомление НОПРИЗ.pdf,Уведомление о включении специалиста в реестр,-1,
pdf_text,c36f8e43-721e-4f25-bd38-11100b8c6f37.ВымпелКом акт сверки  2025 год.PDF,Расчет взаимных расчетов,-1,
pdf_text,ae31c659-3670-4e20-bc68-2f0c23846931.26513_ЭС.pdf,Рабочая документация на создание базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,136a8070-008b-4ced-a6c0-5f7ebda5fe91.МР-Мончегорск-Ленинградская 12188_SWAP_альбом1_ТХ.pdf,Рабочая документация базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,b735657d-d87a-476d-bbe1-c85508cfb947.Договор_стандарт_2026.pdf,Договор страхования имущества юридических лиц,-1,
pdf_text,c8749e6e-2320-4411-b3ac-cdaa0c3ed55a.Печатная форма 53277_TatR_Cheremshan_ M.Kabirova_ТХ.pdf,Рабочая документация по сотовой связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,ecc62192-2b34-4433-af52-f6d55b883b4b.АС_83078_РсО_Глубокий-Московская 31-ОДН.pdf,Рабочая документация для базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,c624c0ef-0831-4228-8908-d6264c8e21e8.Dop.soglashenie_2_PAO_VympelKom.pdf,Изменение размера платы за услуги связи,-1,
pdf_text,0837d284-0f44-4e0c-9e9b-da2101e1ed2b.Оферта №3111_ТС.pdf,Оферта на заключение договора,-1,
pdf_text,"d65e38b0-dabe-4f29-9fcb-652dce159717.UVEDOMLENIE_O_SMENE_YuRID,ADRESA_ot_24.03.2026_772901001.pdf",Уведомление о смене адреса,-1,
pdf_text,9ede1f80-8973-4f11-a60a-8829eed92dbd.43929 ЗбК_Забайкальск_Кристал - ЭС.pdf,Акт на электроснабжение и заземление,-1,
pdf_text,8bf76a7e-1e42-4757-8eb6-507c927423d0.04.24406 Рузский СНТ Автомобилист столб_Альбом ЭС v1.pdf,Рабочая документация на создание базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,d0f816e0-724c-48b6-85ee-5f31ba689f6a.2601_7713076301_997750001_876000050674_detkr_1.pdf,Расшифровка услуг связи за январь 2026,-1,
pdf_text,5a3ce889-2ce1-4687-a0e0-fae56d6eabde.3711_ftk_РРС1_v1.pdf,Рабочая документация на модернизацию узла связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,488b78b7-3a8c-446e-90e2-d33819154741.Vympelkom_raschet_peremennoy_mart_2026_g.pdf,Расчет арендных платежей за апрель 2026 года,-1,
pdf_text,"8129941b-61c9-43ab-b495-4aceb824a289.Акт приема-передачи_г. Самара, ул. Ново-Садовая, 160 м.pdf",Акт передачи объекта подрядчику,0,"акт, оборудования, приема, акт приема, оборудования акт, передачи, приема передачи, передачи оборудования"
pdf_text,d777c993-78b7-4851-9eea-4c3e8e6ccf9b.KONVERT_отпрвручную_2BE72d8ba6d6c5449679a7d4bca48060778_20260306_1_2000000646.sbis.pdf,Пакет документов по услугам консалтинга,-1,
pdf_text,6d6d971a-dea0-4c57-924f-233c3465fc73.КМ_12911-ПК-Инженерная_V5.pdf,Рабочая документация для базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,"9c28e5fc-dcf0-402d-8d20-5a7bfd5350e0.ЭС - 53017 МрдР_Ковылкино, Гагарина-42.pdf",Рабочая документация для базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,fc34cdca-3b9a-4e7d-b02d-ae1ffed78ddb.Приказ ГИП.pdf,Возложение обязанностей главного инженера,-1,
pdf_text,876fc6d6-0a80-4ff0-a07f-2fd75632326c.ТХ_57976_МЭлР_Ошурга_mod_v1(2026 г.).pdf,Рабочая документация радиосистемы ВымпелКом,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,5ed23f8e-416e-4eff-8334-46599b61d38a.Уведомление_об_изменении_реквизитов.pdf,Уведомление об изменении реквизитов,-1,
pdf_text,230e8469-ef0a-4549-90d3-62e2a08f40d0.S0M40382 РРС v2.pdf,Рабочая документация по созданию узла связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,e2a23264-7cbc-4467-baac-574a7f9f4398.ЭС_51230_Себеусад_mod2026_v1.pdf,Рабочая документация электрооборудования базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,"6fcc1ef4-7026-48d0-b85c-93c431925723.(3) 10923 СП_Шушары, Нины Петровой, 6к1 ЭС 2026.06.25 v1.pdf",Рабочая документация по электрооборудованию,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,63e4e375-d937-4863-968b-1d03d134e5ed.55-43361-РРС1 v1.pdf,Рабочая документация базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,4d53cf70-ba30-44e5-94e4-befe38d6bd45.Протокол обмена по документу - УПД  241 от 31.05.2026.pdf,Протокол обмена УПД между компаниями,-1,
pdf_text,"013979d6-3550-47e2-ae82-89f41439519f.TNN00RULEN301089, 15287 ЛО-Новая ладога, Запад.pdf",Рабочая документация транспортной сети,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,9c05432c-6994-476d-a71c-7e189fd85ae8.Оферта №2601_ТС.pdf,Оферта на заключение договора,-1,
pdf_text,8db0ed99-d1dc-4d05-a2df-d6b0e3dc57b4.ИД СМР ВЭС 64084 СтК_Воровский-Южная 92-ОДН.pdf,Исполнительная документация по строительству КЛ,-1,
pdf_text,7f721971-91e5-425d-9753-7682eb8b29a0.ТХ 54617 ПнзO-СрЕлюзань v1.pdf,Модернизация башни сотовой связи,-1,
pdf_text,2f8ade97-a38c-4826-b64b-d064635c6e30.53396 ПмК_Юрла_ОВ_v1.pdf,Рабочая документация по отоплению и вентиляции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,c7251383-ce6e-4983-ae37-189ab94cb77c.Uvedomlenie.pdf,Смена наименования ООО,-1,
pdf_text,ec5f5d9e-8aee-4490-a3b1-f07fb99813d3.Proforma_Invoice_2BM-7713076301-2012052807251168061080000000000_2BM-7826156685-783801001-201401201117022305126_20260605_bceed230-b1c7-40b6-9ae8-a010e343b58d.pdf,Услуга по организации доставки груза,-1,
pdf_text,1fba5bd4-86da-45fb-bda8-e792769dfcdf.Исх. 39-26_Гарантийное письмо на АОП от НБК БС 33062 ОрО_Калинино-Оловянниково 2.pdf,Гарантийное письмо на выполнение работ,-1,
pdf_text,db2d4cc5-6f05-4645-be20-2217cbb46b81.50087 АСТР_Пирогова 181А-ОДН РРС v1.pdf,Рабочая документация радиорелейной связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,9de288ad-cdba-4aee-9dba-66212387bead.(3) 10907 ЛО_Новоселье Центральная 30к1 ЭС 2026.04.16 v1.pdf,Рабочая документация по электрооборудованию,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,9b977cba-0288-4895-bc72-3f72becf0078.Уведомление о смене юр.адреса с карточкой Тема Комфорта.pdf,Уведомление о смене юридического адреса,-1,
pdf_text,0c31626d-780c-49e6-877e-07206bf2dc69.Уведомление НОПРИЗ.pdf,Уведомление о включении специалиста в реестр,-1,
pdf_text,873b2264-2f54-4465-a2ca-ff1ee619219a.Отчет об оказанных услугах_100046983_2026-04_7713076301_997750001.pdf,Счёт на оплату услуг связи,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_text,b82e94c7-da9d-464e-ae5a-b0fb0d9f735a.Приложение к договору ПАО Вымпелком_3814_04_01130-26.pdf,Изменение тарифов и НДС в договоре связи,-1,
pdf_text,6f59c297-1ad9-4516-b638-082929b4ef27.ТХ 25371 Ковров Космодемьянской 2100.pdf,Рабочая документация базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,6d45e78d-cbbb-4593-998a-45632a5661ed.ВК-50401_03-2026-РРС.pdf,Акт строительства базовой станции,-1,
pdf_text,fa41e17c-5d55-4d8e-b3d6-a2034f4c8353.Proforma_Invoice_2BM-7713076301-2012052807251168061080000000000_2BM-7826156685-783801001-201401201117022305126_20260623_61c1f9b7-59b9-4d73-87c4-d6e56fc00c7c.pdf,Счет на услуги доставки груза,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_text,109ffb41-f29f-4819-924c-8457a62c64ee.Детализация №000009521 от 30.04.26.pdf,Счёт на аренду оптических волокон,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_text,2a6b8882-7f75-4c03-8ae1-da07a6d756ac.Гарант. письмо Полевая 127.pdf,Гарантийное письмо на строительство БС,-1,
pdf_text,522e6b2b-2495-49ed-a078-01e19070960f.10667_РД_476887_ТХ_v1.pdf,Рабочая документация на создание базовой станции,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,5616939f-d4ef-4a7b-871f-12061ba13d66.Policy RESO-SMB SYS2958119346.pdf,Договор страхования имущества,-1,
pdf_text,228630ac-a799-4292-9abb-0d4ddb1127e7.81163-ID_521642_ХБР_Северный_Стрельникова-ОВ.pdf,Рабочая документация на отопление вентиляции и кондиционирование,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,5ab64d49-7993-48e4-a6f4-0cbbb8dee68a.29522_ЯР_Скобыкинская роща_РРС1_ОЧ_29212.pdf,Строительство базовой станции сотовой связи,3,"станции сотовой, станции, сотовой связи, сотовой, базовой станции, базовой, связи, строительство базовой"
pdf_text,59bfb6e6-3914-43dc-8081-32c7319467f2.Расчет по электроэнергии 05.2026.pdf,Расчет потребления электроэнергии,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_text,4a77718f-203f-4b8b-85e2-1940210ee60c.ТХ мод_5460 v.2.pdf,Модернизация базовой станции сотовой связи,3,"станции сотовой, станции, сотовой связи, сотовой, базовой станции, базовой, связи, строительство базовой"
pdf_text,c018651e-38e0-4ec1-bb0f-22e2204d1e18.40219_РД_512481_РРС_v1.pdf,Рабочая документация на создание узла связи,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,f6774871-77a6-4528-993e-23ec77ab6d61.РРС1 83035 РсО_Синявское-Красноармейская 108А.pdf,Рабочая документация узла транспортной сети,2,"рабочая документация, рабочая, документация, станции рабочая, станции, базовой, базовой станции, связи рабочая"
pdf_text,a461af55-8657-4294-bca0-15fb71b12b94.403098746904_31.03.2026.pdf,Счёт-фактура МегаФон за период марта 2026 года,-1,
pdf_text,ab96eee9-db2a-4e9f-b380-6dfb9d84cfd7.ЭС_50226_СМР_Магистральная 80_L800_v1.pdf,Модернизация базовой станции с электрооборудованием,-1,
pdf_text,83e72f39-619b-4467-941b-0ef353d3dc71.ОВ 33985 Перелешино v1.pdf,Счет на услуги связи для вышки,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_tables,c418ff6e-ee36-4460-9883-75511a8023ce.Счет 391 от 01.06.2026.pdf,Счёт на получение санитарно-эпидемиологического заключения,-1,
pdf_tables,6e59b428-2556-436b-a495-b296c1160804.900900580691_CDTP_2_31.12.2025.pdf,Счёт на услуги связи Вымпелком,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_tables,425084e6-f602-4322-9b5d-ef1badc7e528.RENT_7713076301_Invoice_9012777892_20260428.pdf,Счёт на оплату электроэнергии,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_tables,5721384e-5138-414b-9067-090849be58f7.Счет на оплату № КОКО-001563 от 31 марта 2026 г.pdf,Счёт на оплату аренды,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_tables,9b7e215b-3f0b-4fea-8f6b-907323716d76.УПД (статус 1) № 136 от 19 мая 2026 г (2).pdf,Счет-фактура на поставку товаров,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_tables,9478ec9f-5dee-408e-ad96-27d1f606fbbf.УПД (статус 1) № 81 от 19 мая 2026 г.PDF,Счет-фактура на поставку товаров,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
pdf_tables,f92cc361-f810-42bc-809d-6162fdb52553.Счёт №259 от 30 апреля 2026.pdf,Счёт на оплату услуг аренды опоры,1,"на, счёт, счёт на, на оплату, оплату, счет, фактура, фактура на"
