doc_id,entity_id,source,file,llm_name,llm_inn,llm_kpp,edo_shortname,edo_inn,edo_kpp,inn_status,kpp_status,name_status
102,d6074f95-3dbf-4234-8c8e-d9a4a12e0d85,tables,d6074f95-3dbf-4234-8c8e-d9a4a12e0d85.Акт об оказании услуг № 8 от 31 января 2026 г.pdf,ТОБОЛЬСКАЯ АШ ДОСААФ РОССИИ ПОУ ТЮМЕНСКОЙ ОБЛАСТИ,7206005911,,"ПОУ ""ТОБОЛЬСКАЯ АВТОМОБИЛЬНАЯ ШКОЛА ДОСААФ РОССИИ""",7206005911,720601001,match,llm_missing,mismatch
107,b3f7b694-ab7e-4d15-8290-6d143d9ed0a9,tables,b3f7b694-ab7e-4d15-8290-6d143d9ed0a9.Счет № 902102 - 1 от 31.03.2026.pdf,"ПАО ""Мобильные ТелеСистемы""",7740000076,997750001,"ПАО ""МТС""",7740000076,997750001,match,match,mismatch
114,be05a94f-83a5-4107-9213-a053c71370bb,tables,be05a94f-83a5-4107-9213-a053c71370bb.900200798915_CDTP_2_31.03.2026.pdf,ПАО «Ростелеком»,7707049388,272143001,"Приморский филиал ПАО ""Ростелеком"" (Дальний Восток)",7707049388,253643002,match,mismatch,match
117,b3c7ab1c-9a57-4c76-84c8-538cbd470d95,tables,b3c7ab1c-9a57-4c76-84c8-538cbd470d95.900500589712_CDTP_2_31.12.2025.pdf,ПАО «Ростелеком»,7707049388,183143001,"Нижегородский филиал ПАО ""Ростелеком"" (Волга)",7707049388,526043002,match,mismatch,match
119,a45d9d3e-6894-4ba1-8fe0-dd358295b2aa,tables,a45d9d3e-6894-4ba1-8fe0-dd358295b2aa.2602_7713076301_463245028_846000072865_schet_11.pdf,"ПАО ""РОСТЕЛЕКОМ""",191167000100,191167000,"Макрорегиональный филиал ""Центр"" ПАО ""Ростелеком""",7707049388,773443001,mismatch,mismatch,match
125,5eeefd4d-0bba-4312-a13e-4d7867d044e8,tables,5eeefd4d-0bba-4312-a13e-4d7867d044e8.900900732909_CDTP_2_31.12.2025.pdf,ПАО «Ростелеком»,7707049388,645243001,"Нижегородский филиал ПАО ""Ростелеком"" (Волга)",7707049388,526043002,match,mismatch,match
130,f5b54c48-f939-4d14-8705-c1669aef4ddb,tables,f5b54c48-f939-4d14-8705-c1669aef4ddb.УПД Белгос №1301 от 30.04.26.pdf,"ООО ""Белгос""",4202023230,420201001,"Сибирский филиал АО ""ЖТК""",7708639622,540743001,mismatch,mismatch,mismatch
135,30009d21-75c1-4895-ab58-bfd351203a4e,tables,30009d21-75c1-4895-ab58-bfd351203a4e.УПД №Э_11_007205 от 31.01.26.pdf,"Акционерное общество ""Мосэнергосбыт""",7736520080,997650001,Косицына Пелагея Алексеевна,502500090867,,mismatch,edo_missing,mismatch
145,f4777cf4-a617-4525-9a44-2924e342d4ae,tables,f4777cf4-a617-4525-9a44-2924e342d4ae.ПЭК 05.pdf,"ООО ""СЕРВИС-ГРУПП""",5260297514,526001001,ИП Аистов Виктор Викторович,525633754931,,mismatch,edo_missing,mismatch
148,a082810e-2f8d-401d-a9f4-a164f49e343c,tables,a082810e-2f8d-401d-a9f4-a164f49e343c.Счет-фактура №90391 от 30.04.26.pdf,АО «Самарагорэнергосбыт»,6316138990,631601001,Бирюкова Вера Васильевна,631208428843,,mismatch,edo_missing,mismatch
157,e3711c6f-a0e4-4598-bbc0-02734b9ab2c9,tables,e3711c6f-a0e4-4598-bbc0-02734b9ab2c9.Счет № 12 И.pdf,"Челябинский РФ АО ""Россельхозбанк""",7725114488,745143001,"АО ""РОССЕЛЬХОЗБАНК""",7725114488,997950001,match,mismatch,match
158,038c8b95-b365-410e-895e-303a9c00494e,tables,038c8b95-b365-410e-895e-303a9c00494e.ON_APP_2BM-7713076301-2012052807251168061080000000000_2BED03F1A3615324CDBB445A02A00F9BEB9_20260401_00032313-0000-0101-0001-000034755516.PDF,"Публичное акционерное общество ""Волгоградэнергосбыт""",3445071523,344501001,"ПАО ""ВОЛГОГРАДЭНЕРГОСБЫТ""",3445071523,785150001,match,mismatch,match
172,7a935b18-2fb9-4d14-91e2-1674b8842987,tables,7a935b18-2fb9-4d14-91e2-1674b8842987.АктВыдачи_WXX-5179210-1YAR400KW.PDF,"ООО ""СЕРВИОНИКА""",,,"ООО ""СТА Карго""",7810825228,781401001,llm_missing,llm_missing,mismatch
177,e97ecc5c-d39a-4f22-b135-e06c7ee18fee,tables,e97ecc5c-d39a-4f22-b135-e06c7ee18fee.Счет на оплату № 81 от 30 апреля 2026 г.pdf,"АО ""ЭК ""Восток""",7705424509,997650001,"АО ""ЭК ""ВОСТОК""",7705424509,770801001,match,mismatch,match
181,3f157042-9921-4ad1-aac3-9cb0419f45d9,tables,3f157042-9921-4ad1-aac3-9cb0419f45d9.СЧЕТ 2 Вымпелком  коммуналка   Июнь 2026.pdf,ИП Любарский Ф.В.,231900338286,,Любарский Феликс Вольфович,231900338286,,match,both_missing,mismatch
186,632e1dff-90cb-422d-84f7-6ba3ea40708b,tables,632e1dff-90cb-422d-84f7-6ba3ea40708b.Акт к Заказу №20.pdf,ООО «Биз Телеком»,7707083893,770701001,"ООО ""Биз Телеком""",7715755732,771401001,mismatch,mismatch,match
193,4ec34952-bdb1-4ef3-9638-15e0ee3b121f,tables,4ec34952-bdb1-4ef3-9638-15e0ee3b121f.900100595903_CDTP_2_31.12.2025.pdf,ПАО «Ростелеком»,7707049388,213043001,"Нижегородский филиал ПАО ""Ростелеком"" (Волга)",7707049388,526043002,match,mismatch,match
196,4f089523-19d6-4137-8a82-a8e17506e250,tables,4f089523-19d6-4137-8a82-a8e17506e250.электроэнергия март 2026.pdf,"АО ""ПАО «ЕГЕРГАРНАРКАР»",7707083893,770701001,"ООО УК ""РЕГИОНГАЗФИНАНС""",7701248637,773101001,mismatch,mismatch,mismatch
198,724cefc4-2834-45a2-ba4e-37e146f9f912,tables,724cefc4-2834-45a2-ba4e-37e146f9f912.Счет на оплату № 100 от 28 февраля 2026 г.pdf,ИП Качурин А. А.,666800023612,,Качурин Александр Александрович,666800023612,,match,both_missing,mismatch
203,52a11975-1896-4201-baf4-29b544562d44,tables,52a11975-1896-4201-baf4-29b544562d44.Счет № 905000 - 1 от 28.02.2026.pdf,"Публичное акционерное общество ""Мобильные ТелеСистемы""",7740000076,997750001,"ПАО ""МТС""",7740000076,997750001,match,match,mismatch
206,fe8a51f9-d774-4cc6-b919-1304ba12c98b,tables,fe8a51f9-d774-4cc6-b919-1304ba12c98b.Тариф по Калинина Счет_покупателю_№_24_от_13_февраля_2026_г.pdf,ИП Шин Максим Анатольевич,251135193282,,"ООО ""Полином ДВ""",2502042777,250201001,mismatch,llm_missing,mismatch
214,6ec3f5ad-959d-42fa-ba62-37b434c01095,tables,6ec3f5ad-959d-42fa-ba62-37b434c01095.Вымпелком_счёт_422859.pdf,"ОАО ""РЖД""",7708503727,997650001,Центральная станция связи ОАО «РЖД»,7708503727,771843001,match,mismatch,mismatch
224,5d4ef6b7-b57c-4805-a506-24bb7553068f,tables,5d4ef6b7-b57c-4805-a506-24bb7553068f.900901011568_CDTP_2_31.01.2026.pdf,ПАО «Ростелеком»,7707049388,631543001,"Нижегородский филиал ПАО ""Ростелеком"" (Волга)",7707049388,526043002,match,mismatch,match
226,17b509df-81a2-43a2-a565-6b64f6a55ee6,tables,17b509df-81a2-43a2-a565-6b64f6a55ee6.900200793015_CDTP_2_31.05.2026.pdf,ПАО «Ростелеком»,7707049388,280143001,"Приморский филиал ПАО ""Ростелеком"" (Дальний Восток)",7707049388,253643002,match,mismatch,match
229,334afbd9-c597-4b60-812b-59846d7a6d3f,tables,334afbd9-c597-4b60-812b-59846d7a6d3f.SF9100188186.pdf,КРА,,,"Кавказский филиал ПАО ""МегаФон""",7812014560,230802001,llm_missing,llm_missing,mismatch
230,b8e2b253-3327-44ad-8acd-fff3ac594921,tables,b8e2b253-3327-44ad-8acd-fff3ac594921.Сч 100 от 31.03.26.pdf,"ООО ""Классик Транзит Телеком""",194156783940,780201001,"ООО ""КТТ""",7839404279,780201001,mismatch,match,match
238,d5aafd99-f53e-4b58-8455-a5d15d573193,tables,d5aafd99-f53e-4b58-8455-a5d15d573193.Счет на оплату № 292 от 28 февраля 2026 г.pdf,"ООО ""Русский Мастер""",5404070958,772001001,"ООО ""РУССКИЙ МАСТЕР""",5404070958,772901001,match,mismatch,match
239,3b0989d2-fa18-41be-b433-cef46096f19e,tables,3b0989d2-fa18-41be-b433-cef46096f19e.900200580496_CDTP_2_31.03.2026.pdf,ПАО «Ростелеком»,7707049388,222443001,"Новосибирский филиал ПАО ""Ростелеком"" (Сибирь)",7707049388,540643001,match,mismatch,match
247,94900fcd-ca53-4c39-835b-86379599387d,tables,94900fcd-ca53-4c39-835b-86379599387d.900100589726_CDTP_2_31.01.2026.pdf,ПАО «Ростелеком»,7707049388,631543001,"Нижегородский филиал ПАО ""Ростелеком"" (Волга)",7707049388,526043002,match,mismatch,match
249,3fa785b3-cb04-46a3-8c9f-8932fad64fa3,tables,3fa785b3-cb04-46a3-8c9f-8932fad64fa3.ЗАК230-Д24442_ВК-ЛКСП-24_21 MOBILE_26127054 Акт № 260430-0179 от 30.04.2026.pdf,ООО «ЭхЭхЭк КихХёхХёхХёх»,7707083893,770701001,"ООО ""ЛАЙОН КОММЬЮНИКЕЙШНЗ""",7743068844,771401001,mismatch,mismatch,mismatch
252,6fbf5cb3-8b89-465a-b5ae-93b88c15d8bc,tables,6fbf5cb3-8b89-465a-b5ae-93b88c15d8bc.900500798626_CDTP_2_31.12.2025.pdf,ПАО «Ростелеком»,7707049388,631543001,"Нижегородский филиал ПАО ""Ростелеком"" (Волга)",7707049388,526043002,match,mismatch,match
254,00dd444f-9719-41a7-b6c4-13ac1cf5320c,tables,00dd444f-9719-41a7-b6c4-13ac1cf5320c.ON_SCHET_2BM-7713076301-2012052807251168061080000000000_2BM-7702743761-583543001-201408220340389381807_20260301_00026507-0000-0102-0001-000030582450.PDF,"Общество с ограниченной ответственностью ""ТНС энерго Пенза""",7702743761,583501001,"ООО ""ТНС ЭНЕРГО ПЕНЗА""",7702743761,785150001,match,mismatch,match
259,cf82a21c-f906-463e-96af-467ac40f0871,tables,cf82a21c-f906-463e-96af-467ac40f0871.Мира электр апрель.pdf,Бердников Евгений Владимирович,781618442050,,Савченко Константин Владимирович,231515625602,,mismatch,both_missing,mismatch
265,afead80b-fb6c-45c1-ba55-f3d360591a06,tables,afead80b-fb6c-45c1-ba55-f3d360591a06.Счет на оплату № 3 от 02 января 2026 г.pdf,ИП Тамбов Р. Б.,231500251150,,Тамбов Руслан Борисович,231500251150,,match,both_missing,mismatch
269,b9e75217-dbc1-4d16-b9f8-275fa0297e64,tables,b9e75217-dbc1-4d16-b9f8-275fa0297e64.SF9100183266.pdf,"ПАО ""МЕГАФОН"" ПОВОЛЖСКИЙ ФИЛИАЛ",7812014560,407028101,"Поволжский филиал ПАО ""МегаФон""",7812014560,631643002,match,mismatch,match
279,b927e14d-e001-4e49-ab20-b85c6625c308,tables,b927e14d-e001-4e49-ab20-b85c6625c308.4 MOBILE_26014559 Акт № 260228-0095 от 28.02.2026.pdf,ООО «ЭхЭхЭк Духовых»,7702011306,770201001,"ООО ""ЛАЙОН КОММЬЮНИКЕЙШНЗ""",7743068844,771401001,mismatch,mismatch,mismatch
280,0e46bb15-83be-414e-b9cc-93168a3485ff,tables,0e46bb15-83be-414e-b9cc-93168a3485ff.900100699520_CDTP_2_31.12.2025.pdf,ПАО «Ростелеком»,7707049388,532143002,"Макрорегиональный филиал ""Северо-Запад"" ПАО ""Ростелеком""",7707049388,784243002,match,mismatch,match
282,ec03f13b-5599-4a11-9d8a-bbee6785aad1,tables,ec03f13b-5599-4a11-9d8a-bbee6785aad1.Счет на оплату выданный № упр500 от 31.03.2026.pdf,"АО ""АЛЬФА-БАНК""",7713076301,044525593,"ЕМУП ""ГОРТРАНС""",6608002732,667101001,mismatch,mismatch,mismatch
284,00e40158-9432-4a56-8227-823a69751098,tables,00e40158-9432-4a56-8227-823a69751098.SUBRENT_0080013942_S_C4BBD76927919F01E1000000C0A8307F.pdf,"АО ""АЛЬФА-БАНК""",7704581238,770401001,"АО ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110,997350001,mismatch,mismatch,mismatch
296,30ff9531-bf7e-4c66-a6b8-900d55b262c4,tables,30ff9531-bf7e-4c66-a6b8-900d55b262c4.Счет на оплату № 636 от 30 апреля 2026 г.pdf,"ООО ""Русский Мастер""",5404070958,772001001,"ООО ""РУССКИЙ МАСТЕР""",5404070958,772901001,match,mismatch,match
298,e6146ee3-debb-4917-b36e-9d3b67929cd1,tables,e6146ee3-debb-4917-b36e-9d3b67929cd1.ПРС21 NNV260113_1723_28.pdf,"ООО ""Бора-Климат""",7707083893,770701001,"ООО ""БОРА-КЛИМАТ""",5262348933,526201001,mismatch,mismatch,match
301,7f446bd6-e132-4e07-b99c-416ba07aab8b,tables,7f446bd6-e132-4e07-b99c-416ba07aab8b.ON_SCHET_2401-2604RP000653.pdf,Филиал АО «Компания ТрансТелеКом» «Межрегиональный филиал Восток»,7709219099,246343002,"АО ""Компания ТрансТелеКом""",7709219099,775050001,match,mismatch,match
309,e5b95e5b-fab6-4b8b-a05a-463a301041f7,tables,e5b95e5b-fab6-4b8b-a05a-463a301041f7.FIB25-SP1-404011 АКТ КС-2_Латышских стрелков 31.pdf,ОБЩЕСТВО С ОГРАНИЧЕННО,,,"ООО ""СК Спринт""",7814466033,781001001,llm_missing,llm_missing,mismatch
310,0b216f9a-f875-4599-a2ff-9f12ca2dacdc,tables,0b216f9a-f875-4599-a2ff-9f12ca2dacdc.Счет на оплату № 23 от 25 марта 2026 г.pdf,"ООО ""Сбербанк Факторинг""",7802754982,785250001,"ООО ""СИТИИНФО""",7810422780,781001001,mismatch,mismatch,mismatch
313,cd299b30-ee1e-4255-90f9-642d74e11f9a,tables,cd299b30-ee1e-4255-90f9-642d74e11f9a.Акт об оказании услуг № 132 от 25 мая 2026 г.pdf,ИП Лысов А. С.,370259634920,,Лысов Александр Сергеевич,370259634920,,match,both_missing,mismatch
321,1aa015be-1bca-47be-a320-f4ec98e85ba4,tables,1aa015be-1bca-47be-a320-f4ec98e85ba4.Счет_69a9a7f7-8c43-4a60-9a6b-3b6ce2b2fb37.pdf,"ООО ""КОМУС""",7721793895,500945001,"ООО ""КОМУС""",7721793895,997350001,match,mismatch,match
323,2e0ad2b5-ea1c-4962-bddd-2db964e17df4,tables,2e0ad2b5-ea1c-4962-bddd-2db964e17df4.Счет на оплату № 60 от 31 марта 2026 г..pdf,"ООО ""ГРАНД ВЭЙ""",2635219430,263401001,"ООО ""ГРАНД ВЭЙ""",2635219430,263501001,match,mismatch,match
325,461ecbc8-a57c-4960-be29-1097b30d6ba5,tables,461ecbc8-a57c-4960-be29-1097b30d6ba5.900600580542_CDTP_2_31.01.2026.pdf,ПАО «Ростелеком»,7707049388,550343001,"Новосибирский филиал ПАО ""Ростелеком"" (Сибирь)",7707049388,540643001,match,mismatch,match
342,610fc423-373d-4e88-acd9-45d00f214ab1,tables,610fc423-373d-4e88-acd9-45d00f214ab1.Счет_График_15238627_20260501.pdf,"Публичное акционерное общество ""Пермская энергосбытовая компания""",5904123809,590401001,"ПАО ""ПЕРМЭНЕРГОСБЫТ""",5904123809,590401001,match,match,mismatch
344,000c756d-a856-4dd4-ac2f-3336e8bfaf3a,tables,000c756d-a856-4dd4-ac2f-3336e8bfaf3a.Счет на оплату № 370 от 17 февраля 2026 г.pdf,"ООО ""ЭВЕРЕСТ""",7536132570,254345001,"ООО ""Эверест""",7536132570,753601001,match,mismatch,match
345,3e1d1572-b968-464d-99e0-d5024cd6796c,tables,3e1d1572-b968-464d-99e0-d5024cd6796c.24195  АМО.pdf,СВЯЗЬ ИНЖИНИРИНГ,5679567956,,"ООО ""СПП""",7726536228,772601001,mismatch,llm_missing,mismatch
353,67604d64-77aa-48c3-815a-6849700ff283,tables,67604d64-77aa-48c3-815a-6849700ff283.Schet_na_oplatu__482_ot_16_marta_2026_g.pdf,ИП Шевчик В.С.,720200646107,720201001,Шевчик Владимир Степанович,720200646107,,match,edo_missing,mismatch
354,5c5abfc1-e2c9-4ded-a990-58ec94f1f9ff,tables,5c5abfc1-e2c9-4ded-a990-58ec94f1f9ff.ЗАК65-Д24442ВК-ЛКСП-24_41 PR_26073057 Копия документов 3х лиц № 260228-093 от 28.02.2026.pdf,Общество с ограниченной ответственностью «ЭмЭмЭс Коммьюникейшнз»,7714328921,,"ООО ""ЛАЙОН КОММЬЮНИКЕЙШНЗ""",7743068844,771401001,mismatch,llm_missing,mismatch
355,7273f017-ddf8-4cab-98ed-8e9468ea34a1,tables,7273f017-ddf8-4cab-98ed-8e9468ea34a1.Счет № 909059 - 1 от 31.05.2026.pdf,"Публичное акционерное общество ""Мобильные ТелеСистемы""",7740000076,997750001,"ПАО ""МТС""",7740000076,997750001,match,match,mismatch
356,40e9c55f-58a7-4de4-adf0-2ffc016d5a75,tables,40e9c55f-58a7-4de4-adf0-2ffc016d5a75.Счет № 902099 - 1 от 31.12.2025.pdf,"ПАО ""Мобильные ТелеСистемы""",7740000076,997750001,"ПАО ""МТС""",7740000076,997750001,match,match,mismatch
360,ee53fa2e-21c3-41aa-8944-4579ffa1ea03,tables,ee53fa2e-21c3-41aa-8944-4579ffa1ea03.900500589658_CDTP_2_31.12.2025.pdf,ПАО «Ростелеком»,7707049388,420543001,"Новосибирский филиал ПАО ""Ростелеком"" (Сибирь)",7707049388,540643001,match,mismatch,match
362,b76846be-1666-4609-a72a-196f31920788,tables,b76846be-1666-4609-a72a-196f31920788.2605_7713076301_370245014_837000082327_schet_1.pdf,"ПАО ""РОСТЕЛЕКОМ""",191167000100,191167000,"Макрорегиональный филиал ""Центр"" ПАО ""Ростелеком""",7707049388,773443001,mismatch,mismatch,match
365,421b740f-3971-4100-a511-02bd40fb80ee,tables,421b740f-3971-4100-a511-02bd40fb80ee.Счет на оплату № 349 от 18.03.2026.pdf,"Общество с ограниченной ответственностью ""Ария TВ""",7838025743,783901001,"ООО ""АРИЯ ТВ""",7838025743,783901001,match,match,mismatch
367,8c6c81f9-eab4-43c3-bcd4-9d4799e4927c,tables,8c6c81f9-eab4-43c3-bcd4-9d4799e4927c.Акт об оказании услуг № 125 от 30 апреля 2024 г.pdf,"ЗАО ""Русское правовое агентство"" ""Russian Legal Agency""",7704043941,770404394,"ЗАО ""Русское правовое агентство "" ""Russian Legal Agency""",7704043941,770401001,match,mismatch,match
370,2423914c-079a-4c89-a07f-3496121c2e49,tables,2423914c-079a-4c89-a07f-3496121c2e49.ON_BILL_2BM_2BM_20260401_735172541#9213911#I.pdf,"Северо-Западный филиал ПАО ""МегаФон""",7812014560,780143001,"Северо-Западный филиал ПАО ""МегаФон""",7812014560,784143001,match,mismatch,match
374,d78e93a6-39e0-4cb6-bf19-4dd0e20c9c83,tables,d78e93a6-39e0-4cb6-bf19-4dd0e20c9c83.Акт об оказании услуг № 101 от 31 мая 2026 г.pdf,"ЗАО ""КОРПОРАЦИЯ ЦЕНТР""",7710521875,771001001,"ЗАО ""Корпорация Центр""",7710521875,770701001,match,mismatch,match
378,8b003882-d214-4231-806c-d22947a8f7c4,tables,8b003882-d214-4231-806c-d22947a8f7c4.СФ_Счет_№402-1101_от_12.02.2026г._на сумму_504017.00_nds_90888.31_di_rks_inn_7713076301_780103001_01.pdf,ООО «РКС-энерго»,3328424479,785150001,"ООО ""РКС-ЭНЕРГО""",3328424479,470601001,match,mismatch,match
380,153ed3fd-5818-470a-bd5c-d9c63282f5be,tables,153ed3fd-5818-470a-bd5c-d9c63282f5be.Акт об оказании услуг № 1861 от 30 марта 2026 г.pdf,"ООО ""ПРОТОН""",7802119050,780201001,"ООО ""Протон""",7802119050,780401001,match,mismatch,match
390,c5e3eb80-72d5-4091-bdfb-fd8c629d0ad2,tables,c5e3eb80-72d5-4091-bdfb-fd8c629d0ad2.Счет на оплату № 62 от 30 апреля 2026 г.pdf,"ООО ""ЛАДОГА""",7811611902,781101001,"ООО ""ЛАДОГА""",7811611902,780201001,match,mismatch,match
392,a0a71244-734f-498c-82c1-6cdf71f6f6ae,tables,a0a71244-734f-498c-82c1-6cdf71f6f6ae.900900492515_CDTP_2_31.05.2026.pdf,ПАО «Ростелеком»,7707049388,032343001,"Новосибирский филиал ПАО ""Ростелеком"" (Сибирь)",7707049388,540643001,match,mismatch,match
398,600434cd-1b6c-4c71-966e-2d5d21beb782,tables,600434cd-1b6c-4c71-966e-2d5d21beb782.1000_6401004663_41_02-06-2026.PDF,"АО ""ЭР-Телеком Холдинг""",7713076301,616502001,"АО ""ЭР-ТЕЛЕКОМ ХОЛДИНГ""",5902202276,590501001,mismatch,mismatch,match
401,6764b558-366f-4e1a-ad27-1bbc3093f20e,tables,6764b558-366f-4e1a-ad27-1bbc3093f20e.Счет_235234d4-449d-4618-aee7-a9377ee717f7.pdf,"ООО ""КОМУС""",7721793895,541045001,"ООО ""КОМУС""",7721793895,997350001,match,mismatch,match
